yorum;;;
The festivals attended by this film are distributed among the prizes given by the film, the sincerity in the narrative, the pleasure taken from the movie, and the fact that although the actors are new and trivial names, they do not include anything in the film and they all had this film.;;;
"a very funny movie or one of the best comedies I&#39;ve watched, so you&#39;re full of laughter.";;;
as well as everyone said that the tub scene was very nice also michelle pfeifferin actress was very good;;;
dreams are very wide and people never dream of realizing their dreams ... I think this movie is very high quality ... such films on behalf of the Turkish cinema would be very pleasing to those who do not ...;;;
to congratulate a film so warm and sincere that he has done a very nice job that John uluçeyi show that if the directors enough budgets are presented to what they do ......... Anyway I recommend to everyone;;;
"A very nice movie ... I watched with curiosity was a nice movie in a few scenes of the movie, but now here I tell you not to watch it as it reads :) Yes, the girls also moved to get worse, I&#39;m sorry I will get ... anyway 8/10 I say because of the disadvantages of some not understand the sentences :)";;;
"I just wanted to tell the presentation, the movie was perfect ... and the subject was very hungry and messy ... with a very unclear subject ... and most of the time your hair was blossoming ... and at the end of the film I was so surprised that I couldn&#39;t tell you that I would suggest that everyone watch before ... really worth the money you give ....";;;
simply great ... would recommend to anyone ... be sure to follow ...;;;
Pure innocent children of Anatolia, the child inside us!;;;
He&#39;s hesitant watching this movie. but I think everyone should watch it :) http://tinypaste.com/528b8b36;;
The film was like this or do not want to write long so long as it was absolutely everyone should watch absolutely ... 9/10;;;
 the most beautiful film I've been watching lately. the scenario is perfectly thought out, the acting is great. a film that really needs to be watched. be sure to follow ...;;;
the second best vampire movie in a single word with the best vampire film I'll put the vampire in the first place ...;;;
 first in the movie category number one ... there is a scene in the film when traveling with the child as the time travel describes the journey from the back of the car past the time, car progress and the future when looking at the road ... butch by car stands and says that the current time .. You're a whip ... clint eastwood, and every film that he directs seems to be a masterpiece.;;;
 The banana acting super..cate blanceht gives the next signal for the first film so it is not perfect. a film that we must sukretmemýz must be a sword. france has very heavy references in the film .. The biggest element that destroys societies is showing that the end of the air. watch me watch;;;
 Bram Stockerdan adaptation, Francis Ford Coppol, perhaps the best film after The Godfatherdan. Gaty Oldman exhibited a magnificent performance. His subject and expression was a masterful job. The best Dracula-Campir film I've ever seen. It can't be better. 10 / 9.5;;;
 super superficial;;;
 The end of the film could be a little shorter but also very nice in general very nice in particular ...;;;
A delightful film is a successful romantic comedy that can be seen without getting bored. One of the best in my own style.;;;
I think it was the best filmdi.ben the last movie I have made in recent years contains the tension and mystery. Depp is still the talked about actress.You will not regret it.;;;
 a film worth touching;;;
When I watched this movie for the first time, I was more childish and my eyes were swollen.It is really nice to add to the pages of Eyazperde.com.;;;
 It is very sad that this film is added so late in this movie ... Most of the film is filmed to the classic film.;;;
 A cult horror film.;;;
 I thought the romantic comic movie was good, but I think everyone was hanging around. I suggest you follow the romantic and funny work as the little actor of the movie said in the movie. I also watched the first love movie in spite of other foreign films in view of supporting the Turkish people.;;;
 a film that needs to be watched. There are two faces of man kevin costner.;;;
I enjoyed it very nice, especially the Aegean is a very cute and a nice film;;;
 I stayed at the last steps of Desem where I grew up at the last minute with the glasses or the lenses that the doctor gave me recently. I always like to watch movies as a whole, as a whole with the film, this change has disturbed my sense of comfort a little, but I couldn't suppress my other feelings throughout the film.;;;
 what a lovely movie what a wonderfully funny what wonderful romantic ...;;;
Just a great movie! so much fun. the quality of the film is already clear. Do not be fooled by the words of those who make a negative yprum and I think I follow. it is extremely immersive and allows people to have a nice time. lindsay is also very sweet, and she's perfectly suited to her role.;;;
 It was very nice in the music that I watched with pleasure in a very romantic romance.;;;
 Film, thriller and horror novelist Stephen King's 'Midnight 2 Pass' book 'Hidden Window-Secret Garden' story adapted from the story of Jurassic Park, Our Mission Danger, Lost World: Jurassic Park 2, Spiderman films such as David Koepp's second directorial feature, Secret Window. The successful actress Jonnhy Deep is written and directed by David Koepp, as well as some of the best actors like Jon Turturo, Mario Bello, Tim Underhil. The story of Stephen King, written in the early '90s, was the finest thriller of 2004.;;;
 a movie that can be watched with pleasure: D;;;
 great fun absolutely recommend ediorm;;;
 It's just a great valla. strictly monitored:);;;
 I would strongly recommend those who do not watch all the emotions in one of the best films of clint Eastwood and a great and magnificent movie.;;;
it seems to be the taste of old greens;;;
very güselllllll;;;
Scream .. he was the killer? Was it this? I'm the first killer of the film's hope for the film so I did not expect the first time because of the film I am unforgettable for beNim .. 9/10;;;
 I like Lindsay Lohan and I think he's done a good job in this movie. chris pine i am a beginner in princess 2 already and i am very happy to see her again in a movie. it was funny and entertaining film, I was bored in very few episodes, but a movie to be watched;;;
 The film was shot very closely (10 mt alongside my place of work). I have a very good quality people and a hard working staff. I thought it would do a job.;;;
 It's a fun, fun, romantic comedy. I think one of Lindsay Lohan's best films ...;;;
 follow a beautiful movie I think ben 10 werdim;;;
The best film in the world. But the best part of the film.;;;
A great romantic comedy with great fun deserves 9 out of 9.;;;
 I had just watched on TV for the first time in my little life, and I was really frightened c that day no movie has ever scared me as much as cry. Especially the first 1 and the second one were awesome. güzeldi..4. I heard the movie comes.;;;
 The best and funniest movie of super lilo.;;;
 A beautiful and fun movie.;;;
I'm guessing this movie has taken everyone to their own child. But a beautiful film ... But I do not understand why there are a lot of scenes ... Now that I have a lot of international award-winning movies in my mind confused the idea that I have missed something ... Example The woman came to me at the beginning of the fires, the shadows moving in the narrow streets came to me like unnecessary tensions.;;;
lindsay lohana is a beautiful movie that can admire the lohana.;;;
a beautiful youth comedy movie, funny, amusing young people or American telling. I think you will enjoy the young, but it does not attract the attention of outside viewers.;;;
A great movie. I have also read and liked the book. The film is also very beautiful. Man watching the external world disconnects it, it is extremely gripping ... I'm looking for a DVD now, and I will add it to the archive when I find it.;;;
 I watched the film was very sweet and very beautiful film ... WATCH FOLLOW ...;;;
I think there are many beautiful funny scenes from the best youth comedies of my last time. When you look at the other bi people can draw a lot from this movie (especially in the youth age) ... both tutorial! both comma;;;
 A very good work in terms of acting as well as the creation of a complete construction hugo's work very well interpreted. the final scene was really super good if it was taken very well ...;;;
 I recommend to watch it was great;;;
A film shot in impossibilities and not based on the cast of the star system, could it be so beautiful, and so far behind the many domestic and foreign films that have been shot in the million dollars? I know what the film is in. I would like to thank Ahmet Uluçay and other laborers for taking this film, which I found very successful as a student of communication faculty. this film taught us once again the victory of perseverance and patience. I would like to say to everyone who loves cinema that we have to be supportive to Ahmet Uluçay and other directors and screenwriters like him, who come up to us with his sympathetic personality and creative spirit. It was a very intimate movie. To win the vessels from the watermelon shell deserves to end. I look forward to the new movies of the director. I would recommend everyone to the movie ... good cinema days :));;;
 It's a book and a movie of my life. But after reading the book, it may be a little disappointing to watch the movie, but it is a film that is well adapted from the book. I am very impressed by the character of the movie.;;;
 one of the most meaningful films I've seen in my life, especially the escape scenes or the last scenes were the most impressive.;;;
 recently I watched the most one of the Turkish flmler. One is not very strong, but everything is very natural, sincere and cheerful. I think in a way ulucay will create his own style and like the six-person mustafa think that the director will not be like himself.;;;
 I wish I had already convinced two of his friends to go.;;;
 If you read the novel and think it in the film you're mistaken because I'm mistaken to watch the film in the beginning of watching the film because you can not live in the movie while reading the book, but for two hours already, but it is not enough hours to tell the book. I would recommend but this movie is not too bad to eat the right so you should not eat the sacred films around you may sound like this medicine :);;;
We read a book from our own imagination, the film is watching from the director. I think that the film is adapted to the scenario in the most beautiful way you can tell in 2.30 hours. Leem Neeson's performance is very good.;;;
 I was wondering about the end, that is who will stay in this chance: D Have done a good film was a fun.;;;
A very warm, intimate movie. The fact that it is true makes the movie even more interesting. I respected Uluçay's genius and I thought that no deserving people in this sector have landed, where they have what possibilities and what they have, and also with these facilities I have been doing it for years and also A.Uluçay has been doing things with impossibilities, warmth and hope.;;;
 those who say filming the movie can read the book. see that it is fantastic;;;
I've also watched a new movie I like to watch fun;;;
 is the best romantic comedy I've seen in recent times so cute;;;
"""From the best musical films ... Acting, dancing, singing is great ... I recommend you to watch ...";;;
" ""An amazing classic, although it was made in 1952, there are people who couldn't fit into the humor of the humor,"" Singin in the Rain ""has a bamboo zellie, which further enhances the tebessm.";;;
"I don't know what to write, but I still try to write a comment. At first I want to say that friends who are critical of this movie have gone to the axaba film What do they expect of a Hollywood film like perfect effects, excellent sound quality, or just a movie?"" The passion of cinema and the creativity and imagination required by the cinema, my friends' eyes are so blind to Hollywood movies that one of us doesn't think that one of us can make a nice film with limited budgets. There are not many features that you would expect as a movie (sound, music quality is obviously poor), but that intimacy attracts people with the kindness of those amateur players. and follow our friends who don't know We need filmmakers.";;;
I've never seen the show, but I really like the movie.;;;
"406 ""daniel and leonardo's performances were very good, I love this kind of period films :)";;;
I have so much to look at this movie or I'm very interested in ????;;;
perfect film really. Excellent osman exam. One of the rare managers really. I do not miss a series and film. I think the film should have higher points.;;;
I do not like this type of movies, but this movie is a beautiful movie, both family and arkdas environment you can enjoy with a movie .. :);;;
"The Valley of the Wolves and their new-life team is a film of beauty and sincerity that can make you feel like we're going back."" Introducing the 'action' to the Turkish TV audience, a series of 'state, nation' issues telling the truth without 'feeling the exploitation' and the brain of his team. Osman exam, Soner Yalçýn and Ömer Lütfü Mete without distorting the topicality of the series, without deviating from the subject, without playing with the emotions of the people, making a film full of awesome subtlety. After the making of this movie, the series was shown with new episodes for up to 6 months and said goodbye. and surely follow .... 10 / 10'Yuridi rose cries, gam kills'";;;
very nice movie series was beautiful even her everything is getting amazing osman exam again had created wonders I would recommend you watch dvd;;;
The films of the osman quiz are really beautiful and this film is completely different;;;
The film is also beautiful, and the acting of daniel day levis is also impressive.;;;
like a tale, like a poem, like music, like a dance, like a song in the rain, a film like a movie ... the best of musicals. One of the best in the history of cinema ...;;;
osman exam usually makes a beautiful film of great surprise in general ...;;;
a wonderful film tells the story of how much difficulty is encountered in the transition from silent cinema to the audio cinema process.;;;
a very cute movie is also interesting, boring and not scary i, zleyin gives a good time;;;
was really a very good quality movie daniel lewis and leo is a movie that must be watched necessarily played very well;;;
"I've watched admiringly in the era of a giant and made a great work. The director Martin scorsese had a wonderful work. I watched the New York City of Revenge in Amsterdam for 2 hours and 45 minutes without being bored. No sense of revenge was ever treated in any other project so spectacularly."" the 10 number one movie that needs to be found ..........";;;
An excellent film. One of the best films in the history of Turkish cinematography.;;;
I'm writing a second comment on this movie, and one of my favorite films.;;;
"It's a fun movie, I'm not bored watching it. The music in the movie is great, especially McFly's"" Too close for comfort ""I liked the song very much.";;;
a great movie .... so I would like to continue my praise, but I like to finish my film like the finish scene of the praise .. such a sudden, or a movie like this, everything is going perfect, film under the influence of people, what will happen next I can't even find a word to say.;;;
kenan imirzalýoðlu is a star that is popular nowadays every movie is very nice to be watched a rare type of Turkish action filmmakers achievements a full ma;;;
"3150 ""The guys have made a beautiful film as the first filimd.""";;;
"3151 ""I can't find much to say about this movie, but it's an incredible movie. It's really good work. It's better than the first movie."" I would recommend to those who do not follow.";;;
"3152 ""If you like humor that makes fun of American movies and serious films, don't miss out.""";;;
"3153 ""It's a really good movie. It's good to have war scenes, but like your friends say, propaganda ...";;;
"3154 ""Terbiyeziz amerika film.But their films are good take it 10 / 8.3";;;
"3155 ""The first two of the most beautiful but four of them should be monitored, I love this series .. =)";;;
"3156 ""I'm not a comedy patient, but I have a weakness in this series, and I've always liked everything super funny ...""";;;
"3157 ""This movie is a movie that takes most films out of the box, and it's a fantastic transient scene, but it's not as rudely as ours. 10/10";;;
"3158 ""It was a very nice production, it gave a lot more than a sailor movie on WW2. The subject was a very well-done rookie scene with explosions sound effects (Oscar award) was very nice ...";;;
"3159 ""An awesome hawe hitchcock film made in 1963 ... has the effects of being far beyond their time ... and the bird effects don't grin by the present day ... also hitchcock used only the sounds of birds as music in the film and added tension to the film with realism."" Acting as a very successful making ... (already a blonde efet in the hitchcock movies generally: D and a handsome man with wide shoulders ... in this film, the disaster rippi hadren handsome man had played taylor ...) tippi hadren, rod taylor and jessica tandy has given up their roles ... even though the script is a bit dangling at the beginning and it reaches the status of a masterpiece ... the end is simple but impressive ... the management doesn't have to say the words ... hitchccock's intelligence, his devotion to landscapes, shattering with realistic effects ... in the best-in-most thriller films I've seen in general n ... 10/9";;;
"3160 ""It was just a horrible movie series. It was the first film in that movie. If it didn't start so well in other movies, I couldn't have been so beautiful in other movies. It did very well to entertain us by making fun of our horror movies."" I watch as I get bored.";;;
"3161 ""The funniest series made of all the movies to watch all very beautiful";;;
"4253 ""Great for a great animation of watching graphics, great colors, great fun ...";;;
"4254 ""was really beautiful .. gripping, funny, fun ... sorry that I have not watched until this time really ... also I did not make the shooting mistakes at the end of the film I laughed very much: D ...";;;
"4255 ""Very nice animation is not an animation like shrek, but more simple than a simple animation of this film so a little children, but still everyone can watch with great pleasure at the end of shooting errors in the animation is a shooting error would not say laughter will be good looking";;;
"4256 ""A little heavy, a little boring, a bit more drama than a movie. It's not a bad one. You can get bored while watching. I didn't read your book";;;
"4257 ""I'm looking forward to the greatest animation of this best animation in the history of cinema.";;;
"4258 ""absolutely agree.okan bayulgen and m.ali erbil voiced.muhtesem iklli. Also the film will be very nice to the press already.";;;
"4259 ""I think this animation is a lot of today's film.";;;
"4260 ""Really great movie. I especially love the lice :) In short, every child should watch Mothers Fathers take this film to your child necessarily";;;
"4261 ""Çoook is a beautiful animation program. Every child should follow.";;;
"4262 ""Most people have difficulty in understanding the subject.";;;
"4263 ""A quality animation, again, a Pixar masterpiece, rendering is relatively poor, though I don't promise to say creativity. The poster is also very dull but you get it.";;;
"4264 ""I read the book before going to the film, I didn't really like it after the book because there was a lot of downtime. But for those who didn't read the book, I suggest watching the film and reading behind the book. So I'm sure you will enjoy the movie much more :)";;;
"4265 ""A perfect film. And the scene of the blasting of that tanker wouldn't lie if I said I was laughing.";;;
"4266 ""I'm bored in some parts of the film, but the drawings, characters and voiceover are great. Even the drawing is tracked for drawing.";;;
"4267 ""The film deserves 10 points, but it is a good idea for foreigners to think about it before watching it. As the producers say, only the Final Fantasy VII players have been taken into consideration as the target audience. If you watch (and you like animation), the movie may entertain you, and perhaps the film may be repulsive to you, but the dialogue between the characters in the movie, whether the characters have emotional ties with each other, their relationship with each other, etc. I can only guarantee that you can't make any sense of them, the film is really deeply meaningful - just like I said, it's only those who play the game, and the music is also Nobuo Uematsu's. .";;;
"4268 ""First of all I liked the film. I played two very nice. They may be naked, but at the end of the film no matter what their friendship is still the heart of these women who live in their hearts, I'm really sorry for me. I'm thinking...";;;
